seq_id	cluster	predicted_taxa	confidence	true_taxa
KU234524.1	2	-1	0.2535	4068
KC012352.1	2	8059	0.8647	48110
MH555169.1	2	70763	0.5125	70762
MG865573.1	2	-1	0.3354	53024
MG282015.1	2	71235	0.6084	2176
KR149268.1	2	14076	0.5887	58249
KJ461316.1	2	30712	0.9999	30712
MK252246.1	2	56589	0.6709	13
MK207287.1	2	25531	0.7249	25524
FJ542799.1	2	-1	0.2752	3602
KT344070.1	2	-1	0.3436	29932
EU003351.1	2	-1	0.1773	40803
DQ534694.1	2	-1	0.1607	62170
MG388280.1	2	53009	0.4212	53033
KR780053.1	2	4227	0.4593	13539
MN825697.1	2	63623	0.5210	35185
MK481515.1	2	37220	0.6102	47873
KX831118.1	2	17324	0.7636	16850
KX388664.1	2	1940	0.4919	33291
KU894287.1	2	13200	0.6327	39925
AJ297573.1	2	1294	0.5871	52661
JF978599.1	2	67490	0.3525	63711
EU414464.1	2	65702	0.4298	65988
MG600150.1	2	56245	0.7147	56245
MK309863.1	2	1379	0.3601	29041
FJ848849.1	2	35852	0.6307	31317
AF165404.1	2	27410	0.9404	27397
MK780144.1	2	-1	0.2005	39761
HM053903.1	2	30204	0.9886	61801
HQ907835.1	2	19910	0.7851	45719
KC177739.1	2	-1	0.2775	67616
AY665866.1	2	60666	0.5872	52830
DQ911616.1	2	2420	0.4173	44505
MH554171.1	2	-1	0.1420	43257
EU821551.1	2	-1	0.2197	70429
MK581024.1	2	48248	0.5970	8814
KX853165.1	2	15526	0.9792	15526
AY212805.1	2	42181	0.3893	21108
MK234241.1	2	9205	0.8478	9205
AY616213.1	2	11200	0.4671	22919
KX646358.1	2	-1	0.2681	44988
MT934867.1	2	17324	0.8776	16810
GQ497871.1	2	54184	0.4119	51280
DQ667236.1	2	-1	0.2865	31479
KC343188.1	2	6477	0.5500	21338
EU499368.1	2	-1	0.1998	10773
DQ987336.1	2	-1	0.3238	46472
AY298489.1	2	16272	0.3663	64819
JQ890494.1	2	-1	0.3457	33407
GQ169315.1	2	-1	0.2600	5624
KU532901.1	2	53593	0.8890	53593
KF732033.1	2	31622	0.8103	23225
GU131138.1	2	55745	0.8878	55745
JQ000472.1	2	68342	0.3537	32576
JX289181.1	2	7716	0.5817	37855
KX783146.1	2	57969	0.8728	29349
AB023474.1	2	62282	0.4654	42296
EU102681.1	2	9182	0.7686	9182
JN250222.1	2	26344	0.3913	26488
EF611059.1	2	60954	0.3833	39614
FJ384734.1	2	20638	0.3856	20638
U42511.1	2	-1	0.1270	67505
KP940731.1	2	47776	0.4625	57731
MG988607.1	2	-1	0.2154	57704
KY271511.1	2	50152	0.8358	14170
MH933631.1	2	38509	0.4172	19855
KY349121.1	2	-1	0.2605	34844
FR832400.1	2	-1	0.2454	51809
KY782362.1	2	27781	0.9949	27781
KF282206.1	2	26082	0.8785	26082
KY006584.1	2	-1	0.3288	41095
FJ554634.1	2	51111	0.9860	51111
KX757636.1	2	615	0.3690	63442
KJ187605.1	2	-1	0.2341	25865
KF981440.1	2	51526	0.8706	33123
AF034914.1	2	57676	0.5351	33280
MF428525.1	2	9539	0.3598	9566
KC177306.1	2	68209	0.7963	68209
JF331999.1	2	58456	0.4200	20530
HQ690249.1	2	2322	0.9339	2322
AY681204.1	2	935	0.5892	13016
AB674985.1	2	36436	0.4970	22754
JQ352507.1	2	12212	0.6392	25309
KC177705.1	2	-1	0.2084	4687
AF192312.1	2	-1	0.2631	19894
KP093062.1	2	-1	0.1512	23763
MT112151.1	2	17272	0.5117	17175
AY360109.1	2	-1	0.2237	71415
AY260976.1	2	-1	0.3375	36462
KC864816.1	2	19787	0.3633	39293
KF454014.1	2	68126	0.4363	68109
MF543739.1	2	21016	0.6995	1434
KT199553.1	2	-1	0.3334	70235
MH508389.1	2	-1	0.3267	2855
AY773349.1	2	-1	0.2268	7017
MH566886.1	2	53123	0.9695	53123
MG869009.1	2	64600	0.9294	64600
AJ320443.1	2	39929	0.4028	72167
EU179214.1	2	29366	0.4353	4091
KJ729881.1	2	16813	0.3629	34665
KF766212.1	2	73014	0.6915	52736
MF110082.1	2	-1	0.3060	46382
AY548810.1	2	-1	0.2834	20814
EU168987.1	2	11187	0.3576	25446
KX262561.1	2	-1	0.3166	31136
KT203320.1	2	38136	0.4481	59745
AF149020.1	2	37571	0.9961	57493
KR086739.1	2	-1	0.2093	12273
AY555517.1	2	38224	0.6490	72863
HQ633017.1	2	-1	0.2831	47403
AF019827.1	2	-1	0.2507	19729
JQ926265.1	2	46316	0.3517	41607
EF507257.1	2	52874	0.9402	68943
JX232416.1	2	-1	0.2731	33857
MF399241.1	2	11979	0.4931	54442
KR134847.1	2	5987	0.6767	38715
MK878381.1	2	26466	0.3548	51577
HM538241.1	2	68321	0.5076	68307
EF057689.1	2	28	0.9909	37
AY635031.1	2	38773	0.6424	55599
DQ357554.1	2	-1	0.3423	37465
JN161134.1	2	35143	0.5799	55038
MH856058.1	2	71025	0.4573	24247
FN552027.1	2	19157	0.4655	44928
MH357891.1	2	27350	0.9793	27350
HQ859338.1	2	-1	0.3159	25178
KX452442.1	2	16813	0.4762	7945
MH173867.1	2	70879	0.5121	70877
MG678497.1	2	70441	0.7179	51757
JN664701.1	2	-1	0.2735	52904
KY239304.1	2	992	0.5143	53315
L37037.1	2	4686	0.9675	4686
EU495307.1	2	22822	0.4105	11815
DQ273795.1	2	59542	0.8987	59542
JX901763.1	2	22290	0.3523	37353
MG250188.1	2	16541	0.6819	55430
MF964083.1	2	-1	0.3261	23015
MH768195.1	2	14861	0.4332	25272
MK517655.1	2	39293	0.7076	36784
AB002080.1	2	50528	0.9635	50528
AF423945.1	2	16503	0.8727	16503
EU735881.1	2	54183	0.8447	54180
JX464320.1	2	-1	0.2828	33593
EF035112.1	2	68773	0.7287	14947
MG709038.1	2	55718	0.7430	56738
KM370900.1	2	55761	0.4454	36622
KP942834.1	2	4524	0.9023	44481
AF077892.1	2	61017	0.9280	61017
AY239949.1	2	-1	0.2347	20643
MT319410.1	2	24865	0.7688	36286
JN164456.1	2	29502	1.0000	29502
KC177691.1	2	5536	0.4912	47450
MF276791.1	2	36633	0.8288	36390
AF229258.1	2	27582	0.5977	6284
GU012391.1	2	-1	0.3185	35489
KF982122.1	2	54539	0.9324	54539
AF012497.1	2	-1	0.3356	4660
AF438323.1	2	-1	0.2976	51588
KF951283.1	2	52801	0.4391	36862
EU796897.1	2	34188	0.9337	34188
AF466090.1	2	281	0.4528	73354
JN040506.1	2	36305	0.9809	36305
AY826305.1	2	10024	0.8304	46702
MK911056.1	2	-1	0.1959	22470
AY972883.1	2	17572	0.3503	17576
AY055403.1	2	32776	0.8904	3680
JQ388515.1	2	65987	0.6923	44021
KY982567.1	2	39919	0.4750	38812
FJ817529.1	2	-1	0.2046	32487
EU982597.1	2	40327	0.4797	15482
FJ870089.1	2	-1	0.2970	4587
KP258360.1	5	29213	1.0000	29213
GU248647.1	2	41514	0.7617	56055
MK050351.1	2	13755	0.9483	36404
FJ897733.1	2	18107	0.4804	23552
EF494056.1	2	6485	0.5052	52817
KJ535871.1	2	10956	0.5170	27919
GQ912716.1	2	39080	0.5992	24942
KJ525007.1	2	-1	0.2866	55411
FJ432172.1	2	10603	0.8925	10603
KM061666.1	2	53061	0.7447	53061
AF535029.1	2	-1	0.2177	60957
HQ437785.1	2	41172	0.9537	41172
DQ234556.1	2	-1	0.2532	54164
EU419961.1	2	16103	0.4029	16103
HQ607102.1	2	-1	0.2321	63868
U78718.1	2	897	0.3534	29305
JN579584.1	2	29312	0.3612	3119
AY463134.1	2	-1	0.1921	25942
EU084964.1	2	68793	0.6301	52214
MN825535.1	2	43480	0.4625	35152
MZ262421.1	2	37325	0.9559	15667
KF901658.1	2	23821	0.8751	44219
KU315392.2	2	-1	0.3290	2352
GQ265518.1	2	71556	0.9835	71556
FN820273.1	2	2975	0.9451	2975
KM876878.1	2	-1	0.1955	8489
MG264563.1	2	9657	0.9880	9657
MK910139.1	2	53062	0.8364	53061
EF421738.1	2	34589	0.6387	18269
KR349240.1	2	36080	0.5822	33806
AY620419.1	2	44721	0.6089	44721
AF479089.1	2	51759	0.7714	52931
KU244093.1	2	31217	0.4138	4712
FM992674.1	2	-1	0.3337	69916
AM779731.1	2	-1	0.2681	69290
AM501981.1	2	44648	0.7282	53374
MG264152.1	2	4563	0.4981	4563
AF375156.1	2	63790	0.5916	50701
EF189648.1	2	-1	0.2484	37932
LC014566.1	2	51375	0.9408	37627
MK313863.1	2	-1	0.2147	57471
FJ855281.1	2	46564	0.4437	46564
EU637352.1	2	67490	0.3978	67490
GQ924183.1	2	5125	0.4730	5118
JX233754.1	2	-1	0.3415	68159
JQ359840.1	2	38564	0.4703	38568
MH592578.1	2	49743	0.4814	39014
FM244908.1	2	43583	0.3687	68961
KX036754.1	2	56120	0.9983	56120
MN031211.1	2	24403	0.8970	67530
KT157637.1	2	21809	0.9489	65757
AY499006.1	2	55938	0.6381	57016
FJ870952.1	2	-1	0.2953	44136
MN638861.1	2	36226	0.3570	57153
HM167599.1	2	28043	0.8002	28043
AF189031.1	2	22168	0.6182	22169
EF635442.1	2	-1	0.2079	37931
GQ866495.1	2	29865	0.7092	19055
DQ455665.1	2	-1	0.2761	27421
MT935554.1	2	4070	0.9582	17323
MH768168.1	2	27216	0.7305	8655
AJ810739.1	2	33352	0.6704	46414
EF451085.1	2	20040	0.6417	40237
EF538701.1	2	24337	0.6927	52352
KC429338.1	2	18571	0.8767	18571
MW175341.1	2	13956	0.4175	26881
AY173463.1	2	14534	0.9821	14534
DQ390102.1	2	44258	0.5664	24330
AF479172.1	2	-1	0.1855	45702
MK095664.1	2	-1	0.2064	40193
AF377122.1	2	49354	0.5912	59309
KU669279.1	2	10617	0.4429	10617
EU363600.1	2	1052	0.3964	17920
AF498330.1	-1	63271	0.5692	54012
AY936650.1	2	-1	0.3237	8968
DQ904024.1	2	55504	0.6455	22695
HQ880808.1	2	21296	0.5255	7298
KC502928.1	2	3094	0.7748	42254
HQ615114.1	2	50431	0.3785	7245
MW144429.1	2	61989	0.6832	73182
KT371534.1	2	-1	0.3270	38627
AY960733.1	2	51882	0.7765	51883
AY550141.1	2	53877	0.5037	53862
MH768154.1	2	12933	0.4793	42722
JX073270.1	2	16257	0.9623	54403
HF680228.1	2	71025	0.3930	886
KF704996.1	2	23906	0.3728	37108
MH566896.1	2	58437	0.5110	67133
JQ780471.1	2	72077	0.6934	46867
MK976824.1	2	54908	0.8926	54915
AF284969.1	2	11641	0.6824	11641
AJ318659.1	2	57366	0.7205	40343
KY394943.1	2	55991	0.6048	55991
HQ265486.1	2	-1	0.2606	1832
AY174755.1	2	57111	0.5683	61629
AY673060.1	2	-1	0.2276	65274
AJ583468.1	2	1012	0.3976	14343
EU090939.1	2	45730	0.6433	19105
FJ565478.1	2	50985	0.5368	68917
KU355322.1	2	34933	0.6248	32755
JQ676974.1	2	40140	0.9561	14525
KC511482.1	2	52018	0.7844	52018
EF650156.1	2	23356	0.6376	23356
EF601515.1	2	-1	0.3362	61333
DQ923779.1	2	41117	0.6997	41122
KY381618.1	2	-1	0.2476	41741
KF743891.1	2	21762	0.9322	21762
MK550975.1	2	69281	0.5105	58042
HM049791.1	2	13520	0.7832	13520
JQ621972.1	2	42175	0.4214	69625
KT333335.1	2	61280	0.4361	12080
KF524371.1	2	72370	0.9264	72370
KC111083.1	2	52080	0.9841	52080
MF801672.1	2	-1	0.2841	11947
ON811523.1	2	8239	0.5234	51623
JQ424840.1	2	4594	0.5838	4594
AF498395.1	2	1764	0.6751	1759
KP896052.1	2	64104	0.6341	73257
FJ572714.1	2	-1	0.1565	53275
KT356277.1	2	2419	0.9393	2419
KF556052.1	2	37534	0.4583	37534
MK020535.1	2	-1	0.2497	42399
JX995289.1	2	-1	0.2926	473
HQ393715.1	2	48324	0.3808	26050
MG669256.1	2	52156	0.5184	1592
U41674.1	2	54322	0.6120	4789
GU110865.1	2	23914	0.9876	23956
MH557912.1	2	23406	0.4319	35435
JX162958.1	2	47478	0.9945	47480
GQ889013.1	2	-1	0.1949	54955
MF077739.1	2	70105	0.4926	45240
JX983658.1	2	18904	0.3833	12450
AY920789.1	2	-1	0.1058	1307
MN433583.1	2	5412	0.4964	73146
AF508819.1	2	39491	0.8748	35505
MF063745.1	2	-1	0.2732	17820
AJ411899.1	2	10443	0.5422	2289
EU848578.1	2	-1	0.2905	18705
AJ577765.1	2	55025	0.5106	42056
AF445837.1	2	-1	0.3045	9690
EU343759.1	2	35968	0.5821	30197
AJ400153.1	2	29503	0.9766	29503
KX228292.1	2	28009	0.3530	21326
EF056287.1	2	-1	0.2281	53529
EF113165.1	2	-1	0.3149	40730
GU053598.1	2	37480	0.4266	13553
MF919612.1	2	65549	0.3947	65505
AF229314.1	2	-1	0.3487	37293
EU188884.1	2	-1	0.3480	32562
AF443633.1	2	10038	0.9053	10038
KM231831.1	2	883	0.5482	48777
KR532191.1	2	58480	0.7871	29624
AF228185.1	2	985	0.4044	995
FJ040535.1	2	56499	0.7465	56499
MG934443.1	2	28533	0.6942	42315
MW546580.1	2	8067	0.4843	13099
KR532550.1	2	-1	0.2906	61108
KJ578793.1	2	65515	0.3986	65519
MK161039.1	2	34336	0.5721	34241
AF054951.1	2	-1	0.2048	40163
KF662769.1	2	-1	0.1915	41930
MT560352.1	2	42175	0.8499	16636
KY198733.1	2	61834	0.7609	29752
MG917789.1	2	59377	0.3627	59375
MK321779.1	2	66040	0.6729	39272
MF423291.1	2	66762	0.8343	66762
KT345485.1	2	7083	0.8974	7083
GQ426585.1	2	7218	0.4164	12559
KX302233.1	2	-1	0.2647	16853
OP295480.1	2	16813	0.9932	68274
KP794362.1	2	25150	0.4477	69234
KT021213.1	2	11709	0.5839	11709
KF263198.1	2	-1	0.2852	47895
EU332744.1	2	-1	0.1645	6464
JF417470.1	2	49764	0.4544	58843
JQ306488.1	2	64643	0.9036	48167
HQ728950.1	2	-1	0.2622	70405
KF039796.1	2	-1	0.2664	19249
KJ418068.1	2	-1	0.3208	25468
MK965250.1	2	55745	0.4761	45032
JN114543.1	2	20004	0.4671	30805
JQ306440.1	2	734	0.8063	734
KC874656.1	2	48983	0.5024	30282
EU164661.1	2	1848	0.7525	1848
KR532579.1	2	65790	0.7392	65790
KT006785.1	2	37675	0.8450	68057
KU210715.1	2	29481	0.9845	29481
KR907246.1	2	19664	0.6632	46147
EF462987.1	2	51147	0.5565	72031
MF797661.1	2	60520	0.4321	43900
AY171280.1	2	65549	0.3657	65551
JN099268.1	2	7100	0.6329	64582
KY174836.1	2	8967	0.4022	38244
DQ343691.1	2	64461	0.9956	64461
KJ538548.1	2	52156	0.8702	34903
MF683568.1	0	59808	0.5286	59809
KY988883.1	2	64644	0.4468	37703
GQ143671.1	2	14166	0.4130	64326
AY826302.1	2	62292	0.5417	46044
MH484046.1	2	48606	0.9198	48606
KY105765.1	2	59489	0.8618	70139
AY335960.1	2	24049	0.8046	24050
JN631358.1	2	22953	0.9855	22953
KJ475213.1	2	27924	0.5365	27924
MH503549.1	2	36823	0.6024	17749
MN551438.1	2	64643	0.8821	48158
KF687716.1	2	41615	0.7939	15506
KX262556.1	2	-1	0.1774	45841
DQ873915.1	2	19436	0.3650	3919
MN761603.1	2	-1	0.2977	11752
KC758676.1	2	18316	0.8819	18316
KU927741.1	2	42764	0.6668	42765
KU308633.1	2	-1	0.3421	10445
KJ473888.1	2	-1	0.3085	21095
MN733256.1	2	883	0.5051	3936
EF538217.2	2	13405	0.4992	30441
KY193975.1	2	-1	0.3067	3096
MG253149.1	2	12980	0.5756	3262
EU074914.1	2	66762	0.9744	66762
MK976863.1	2	1679	0.4358	54952
MN761605.1	2	-1	0.2144	11547
KX443542.1	2	30211	0.4966	30194
AF521585.1	2	-1	0.2686	34485
KT188568.1	2	38560	0.3870	56732
FJ416593.1	2	27076	0.8577	29869
EU055882.1	2	-1	0.2786	48180
KF866240.1	2	9338	0.9707	9338
DQ312054.1	2	18976	0.6828	70063
AY116477.1	2	-1	0.1935	63499
JQ081209.1	2	-1	0.1585	9103
OL770177.1	2	-1	0.3242	36773
MZ221603.1	2	12479	0.3877	67325
EU328729.1	2	26447	0.4819	30543
HQ203349.1	2	4132	0.7868	27105
MG987090.1	2	5383	0.9944	5383
MF784711.1	2	33205	0.6091	33193
AF385345.1	2	66989	0.3928	15745
KP193457.1	2	9604	0.3789	65771
MH793959.1	2	20945	0.9996	20945
AY728368.1	2	44612	0.8095	1914
FJ907412.1	2	40035	0.9808	40035
AF280105.1	2	55614	0.9871	67905
KF577137.1	2	-1	0.3487	63856
MK442577.1	2	-1	0.2531	19613
KR909390.1	2	59195	0.5308	28225
OM030282.1	2	55319	0.8215	30501
JQ990173.1	2	14335	0.9476	14335
MF818022.1	2	63801	0.3808	47561
MZ636955.1	2	52156	0.3754	23642
JQ911547.1	2	29868	0.8998	29868
MZ595898.1	2	24114	0.4349	15558
KY102486.1	2	8938	0.9941	44416
JX915757.1	2	24462	0.9999	24462
MG386028.1	2	16256	0.5667	60448
KJ886441.1	2	-1	0.1897	12698
KT290134.1	2	-1	0.2693	56914
KF251188.1	2	71354	0.8944	63084
MT784073.1	2	-1	0.2958	72029
KR092944.1	2	-1	0.1996	3187
KM266387.1	2	51453	0.8101	13921
AY627005.1	2	44247	0.8779	44247
JF326454.2	2	8557	0.8443	4498
AJ242143.1	2	-1	0.1472	41223
MK047429.1	2	7969	0.4649	45218
FJ434979.1	2	71023	0.3877	30114
AY245760.1	2	14978	0.9629	14978
HQ443767.1	2	57076	0.6621	57735
AF169233.1	2	-1	0.2396	73410
KM189632.1	2	50391	0.8734	50548
AY181566.1	2	61768	0.5187	11844
EF215842.1	2	65802	0.9404	65802
MZ064421.1	2	73268	0.4617	67756
HM854646.1	2	-1	0.3108	64021
KC753489.1	2	70383	0.7951	15352
KC019576.1	2	-1	0.3303	26134
AY008547.1	2	24322	0.8825	56312
AF190007.1	2	57141	0.5411	27468
KY322156.1	2	11593	0.5619	11710
AJ270163.1	2	4891	0.9623	4891
EU391953.1	2	3492	0.3784	69244
KT217490.1	2	69029	0.6854	31441
KP970297.1	2	65731	0.9548	65731
MF281644.1	2	16565	0.6199	19235
KX669273.1	2	23983	0.5206	28718
